student_id,quarks,xp,badges,scientist,stats,updated_at
9ef17bbb-0c8c-4e40-a951-fc901f16bcd6,594,2970,"[""first_correct"",""answered_50"",""quarks_100"",""xp_level5"",""answered_100"",""quarks_500""]","{""face"":null,""head"":null,""owned"":[],""skinTone"":""#E0AC69"",""coatColor"":""#ffffff"",""coatPattern"":""plain""}","{""sessions"":2,""bestStreak"":0,""totalCorrect"":297,""totalAnswered"":311,""activitiesPlayed"":[""breakdown-blitz"",""syllable-splitter""]}",2026-03-20 03:22:53.638091+00
b9fd7845-7c0b-4dbf-b7bc-ef7eb2930a1b,128,4440,"[""first_correct"",""answered_50"",""quarks_100"",""xp_level5"",""answered_100"",""quarks_500""]","{""face"":""glasses"",""head"":""beanie"",""owned"":[""rainbow"",""stars"",""beanie"",""glasses""],""skinTone"":""#E0AC69"",""coatColor"":""rainbow"",""coatPattern"":""stars""}","{""sessions"":2,""bestStreak"":0,""totalCorrect"":444,""totalAnswered"":448,""activitiesPlayed"":[""mission-mode"",""breakdown-blitz"",""syllable-splitter""]}",2026-03-20 03:10:01.042473+00
2d7f74c0-133a-44ca-b49c-af7e1bc8fd6c,190,1500,"[""first_correct"",""answered_10"",""answered_25"",""xp_level3"",""answered_50"",""quarks_100"",""xp_level5"",""answered_100""]","{""face"":""glasses"",""head"":null,""owned"":[""#fed7aa"",""glasses""],""effect"":null,""skinTone"":""#C68642"",""coatColor"":""#fed7aa"",""coatPattern"":""plain"",""customSlots"":{}}","{""sessions"":2,""bestStreak"":0,""totalCorrect"":150,""totalAnswered"":171,""activitiesPlayed"":[""syllable-splitter"",""breakdown-blitz"",""phoneme-splitter""]}",2026-03-24 08:01:33.751059+00
cb1f963f-fe97-4bcf-a8ad-6325b113a5c5,654,3270,"[""first_correct"",""answered_50"",""answered_10"",""answered_25"",""xp_level3"",""quarks_100"",""xp_level5"",""answered_100"",""quarks_250"",""answered_200"",""quarks_500""]","{""face"":null,""head"":null,""owned"":[],""effect"":null,""skinTone"":""#E0AC69"",""coatColor"":""#ffffff"",""coatPattern"":""plain"",""customSlots"":{}}","{""sessions"":3,""bestStreak"":0,""totalCorrect"":327,""totalAnswered"":345,""activitiesPlayed"":[""breakdown-blitz"",""syllable-splitter"",""sound-sorter""]}",2026-03-24 01:26:26.691157+00
922bbed0-e603-4589-af0c-529e448120ff,522,3610,"[""first_correct"",""answered_50"",""quarks_100"",""xp_level5"",""answered_100"",""answered_10"",""answered_25"",""xp_level3"",""answered_200"",""quarks_250"",""sessions_5"",""quarks_500""]","{""face"":null,""head"":null,""owned"":[""#fbbf24""],""effect"":null,""skinTone"":""#E0AC69"",""coatColor"":""#fbbf24"",""coatPattern"":""plain"",""customSlots"":{}}","{""sessions"":5,""bestStreak"":0,""totalCorrect"":361,""totalAnswered"":417,""activitiesPlayed"":[""breakdown-blitz"",""meaning-mode"",""sound-sorter""]}",2026-03-25 09:13:49.887319+00
da3d7599-9455-450b-b1d8-0f00408d623b,512,2560,"[""first_correct"",""answered_10"",""answered_25"",""xp_level3"",""answered_50"",""quarks_100"",""xp_level5"",""answered_100"",""quarks_250"",""answered_200"",""all_activities"",""quarks_500""]","{""face"":null,""head"":null,""owned"":[],""effect"":null,""skinTone"":""#FDBCB4"",""coatColor"":""#ffffff"",""coatPattern"":""plain"",""customSlots"":{}}","{""sessions"":1,""bestStreak"":0,""totalCorrect"":256,""totalAnswered"":306,""activitiesPlayed"":[""word-spectrum"",""syllable-splitter"",""breakdown-blitz"",""speed-mode"",""meaning-mode"",""mission-mode"",""phoneme-splitter""]}",2026-03-24 01:28:53.599337+00
a51747f3-e359-4bbe-b32a-436417ffc2ee,926,4630,"[""answered_10"",""first_correct"",""answered_25"",""xp_level3"",""answered_50"",""quarks_100"",""xp_level5"",""answered_100"",""quarks_250"",""answered_200"",""quarks_500""]","{""face"":null,""head"":null,""owned"":[],""effect"":null,""skinTone"":""#FDBCB4"",""coatColor"":""#ffffff"",""coatPattern"":""plain"",""customSlots"":{}}","{""sessions"":3,""bestStreak"":0,""totalCorrect"":463,""totalAnswered"":493,""activitiesPlayed"":[""phoneme-splitter"",""syllable-splitter""]}",2026-03-25 03:56:14.692699+00
f0a995e6-fca5-4760-a91c-9a8ce5977527,134,670,"[""first_correct"",""answered_10"",""answered_25"",""xp_level3"",""answered_50"",""quarks_100""]","{""face"":null,""head"":null,""owned"":[],""effect"":null,""skinTone"":""#E0AC69"",""coatColor"":""#ffffff"",""coatPattern"":""plain"",""customSlots"":{}}","{""sessions"":4,""bestStreak"":0,""totalCorrect"":67,""totalAnswered"":89,""activitiesPlayed"":[""breakdown-blitz"",""meaning-mode"",""phoneme-splitter""]}",2026-03-24 01:23:23.382226+00
cf44430f-8cfb-49a8-b69f-bb0fef38c63f,9523,19000,"[""first_correct"",""answered_50"",""quarks_100"",""xp_level5"",""answered_100"",""quarks_500"",""sessions_5"",""answered_10"",""answered_25"",""answered_200"",""xp_level3"",""quarks_250"",""streak_3"",""streak_5"",""streak_10"",""perfect_session"",""streak_15"",""quarks_1000"",""all_activities"",""xp_level10"",""answered_500"",""answered_750"",""legend_morpheme"",""legend_collector"",""xp_level15""]","{""face"":null,""head"":""ninja_headband"",""owned"":[""rainbow"",""stripes"",""molecules"",""stars"",""ninja_headband"",""halo"",""flower_crown"",""magnifying_glass"",""party_hat"",""custom_7be90b7b-3712-4982-894a-93f0d515ec12"",""crown""],""effect"":""divine"",""skinTone"":""#C68642"",""coatColor"":""rainbow"",""background"":""lab"",""coatPattern"":""stars"",""customSlots"":{""coat"":""7be90b7b-3712-4982-894a-93f0d515ec12"",""_img_coat"":""https://qutsbcfkgiihcwaktsaz.supabase.co/storage/v1/object/public/shop-items/1774342562453_dad46b19.png""}}","{""sessions"":9,""bestStreak"":15,""totalCorrect"":1634,""totalAnswered"":1716,""activitiesPlayed"":[""breakdown-blitz"",""syllable-splitter"",""phoneme-splitter"",""mission-mode"",""homophone-hunter"",""word-spectrum"",""speed-mode""]}",2026-03-25 09:13:31.633261+00
c3cf75ee-19b8-41a0-be35-0208243e3a3b,238,6090,"[""first_correct"",""answered_50"",""quarks_100"",""xp_level5"",""answered_100"",""quarks_500"",""answered_500"",""xp_level10""]","{""face"":""mask"",""head"":""grad_cap"",""owned"":[""mask"",""rainbow"",""stripes"",""grad_cap"",""#fbbf24""],""skinTone"":""#F1C27D"",""coatColor"":""#fbbf24"",""coatPattern"":""stripes""}","{""sessions"":2,""bestStreak"":0,""totalCorrect"":609,""totalAnswered"":682,""activitiesPlayed"":[""meaning-mode"",""breakdown-blitz"",""sound-sorter"",""mission-mode""]}",2026-03-20 03:27:23.908547+00
