game,word,difficulty,stage
refinery,Talking,,s3e
refinery,Thinking,,s3l
refinery,Looking,,s3e
refinery,Changing,,s3l
refinery,Getting Bigger,,s3l
refinery,Making,,s3l
refinery,Breaking Down,,s3e
refinery,Showing,,s3l
refinery,Disagreeing,,s3e
refinery,Deciding,,s3l
refinery,Collecting,,s3e
refinery,Moving,,s3e
refinery,Writing,,s3e
refinery,Asking,,s3e
refinery,Helping,,s3e
refinery,Stopping,,s3e
refinery,Starting,,s3l
refinery,Checking,,s3l
refinery,Connecting,,s3l
refinery,Measuring,,s3l
refinery,Hiding,,s3e
refinery,Fixing,,s3e
refinery,Wanting,,s3e
refinery,Eating,,s3e
refinery,Running,,s2l
refinery,Talking Quietly,,s3e
refinery,Being Scared,,s3e
refinery,Being Happy,,s3e
refinery,Being Angry,,s3l
refinery,Teaching,,s3l
spectrum,Temperature,,s2e
spectrum,Size,,s2l
spectrum,Speed,,s3e
spectrum,Happiness,,s2l
spectrum,Anger,,s3e
spectrum,Brightness,,s3e
spectrum,Effort,,s2l
spectrum,Fear,,s3e
homophone,there,,s2l
homophone,to,,s2e
homophone,wear,,s2l
homophone,right,,s2e
homophone,here,,s2e
homophone,see,,s2e
homophone,plain,,s2l
homophone,knight,,s2l
homophone,flower,,s2l
homophone,weather,,s3e
homophone,mail,,s2l
homophone,sail,,s2l
homophone,tail,,s2e
homophone,bare,,s2l
homophone,whole,,s2l
homophone,peace,,s2l
homophone,wait,,s2l
homophone,pour,,s2l
homophone,no,,s2e
homophone,brake,,s2l
homophone,son,,s2e
homophone,won,,s2e
homophone,aloud,,s3e
homophone,passed,,s3e
