game,word,difficulty,stage
refinery-ext,Influencing,,s3l
refinery-ext,Understanding,,s3l
refinery-ext,Disagreeing Formally,,s3l
refinery-ext,Making Worse,,s3l
refinery-ext,Getting Better,,s4
refinery-ext,Spreading Ideas,,s3l
refinery-ext,Predicting,,s4
refinery-ext,Criticising,,s3l
refinery-order,Feeling Sad,,s3e
refinery-order,Being Wrong,,s3l
refinery-order,Enough,,s3l
refinery-order,Being Brave,,s3l
refinery-order,Being Clever,,s3e
synonym,happy,,s2e
synonym,big,,s2e
synonym,fast,,s2e
synonym,angry,,s2l
synonym,cold,,s2e
synonym,start,,s2e
synonym,end,,s2e
synonym,help,,s2l
synonym,look,,s2l
synonym,brave,,s2l
synonym,tired,,s2l
synonym,funny,,s2l
synonym,strange,,s2l
synonym,make,,s2e
synonym,small,,s2e
synonym,sad,,s2e
synonym,smart,,s2e
synonym,loud,,s2e
synonym,right,,s2e
synonym,walk,,s2l
synonym,fix,,s2e
synonym,old,,s2l
synonym,pretty,,s2e
synonym,wet,,s2e
synonym,silent,,s2e
synonym-ext,precise,,s3e
synonym-ext,infer,,s3l
synonym-ext,concise,,s3l
synonym-ext,significant,,s3e
synonym-ext,ambiguous,,s3e
synonym-ext,demonstrate,,s3e
synonym-ext,establish,,s3e
synonym-ext,accumulate,,s3l
synonym-ext,analyse,,s3e
synonym-ext,modify,,s3e
antonym,happy,,s2e
antonym,big,,s2e
antonym,fast,,s2e
antonym,hot,,s2e
antonym,brave,,s2l
antonym,begin,,s2e
antonym,include,,s2l
antonym,expand,,s3e
antonym,ancient,,s2l
antonym,light,,s2e
antonym,polite,,s2e
antonym,success,,s2l
antonym,construct,,s2l
antonym,love,,s2e
antonym,clean,,s2e
antonym,generous,,s2l
antonym,encourage,,s2l
antonym,transparent,,s3e
antonym,arrive,,s2l
antonym,remember,,s2e
antonym,accept,,s2l
antonym,wild,,s2l
antonym,narrow,,s2e
antonym,positive,,s2l
antonym,question,,s2e
antonym-ext,convergent,,s3l
antonym-ext,explicit,,s3l
antonym-ext,concrete,,s3l
antonym-ext,objective,,s3l
antonym-ext,benevolent,,s3l
antonym-ext,endorse,,s3l
antonym-ext,amplify,,s3l
antonym-ext,transparent,,s3l
spectrum-ext,Certainty,,s3l
spectrum-ext,Formality,,s3l
spectrum-ext,Complexity,,s3e
homophone-ext,stationary,,s3e
homophone-ext,principal,,s3l
homophone-ext,affect,,s3e
homophone-ext,practice,,s3l
homophone-ext,complement,,s3l
homophone-ext,council,,s3l
homophone-ext,cereal,,s3e
homophone-ext,coarse,,s3e
homophone-ext,altar,,s3l
homophone-ext,cite,,s3l
homophone-ext,manner,,s3l
homophone-ext,descent,,s4
